entity;field;model_file
Shipment;carrier_id;web/app/Models/Shipment.php
Shipment;shop_id;web/app/Models/Shipment.php
Shipment;delivery_service_id;web/app/Models/Shipment.php
Shipment;order_delivery_selection_id;web/app/Models/Shipment.php
Shipment;provider_type;web/app/Models/Shipment.php
Shipment;pickup_address;web/app/Models/Shipment.php
Shipment;pickup_latitude;web/app/Models/Shipment.php
Shipment;pickup_longitude;web/app/Models/Shipment.php
Shipment;delivery_address;web/app/Models/Shipment.php
Shipment;delivery_latitude;web/app/Models/Shipment.php
Shipment;delivery_longitude;web/app/Models/Shipment.php
Shipment;distance_km;web/app/Models/Shipment.php
Shipment;duration_minutes;web/app/Models/Shipment.php
Shipment;routing_provider;web/app/Models/Shipment.php
Shipment;traffic_delay_minutes;web/app/Models/Shipment.php
Shipment;no_traffic_duration_minutes;web/app/Models/Shipment.php
Shipment;routed_at;web/app/Models/Shipment.php
Shipment;route_geometry;web/app/Models/Shipment.php
Shipment;vehicle_code;web/app/Models/Shipment.php
Shipment;vehicle_label;web/app/Models/Shipment.php
Shipment;total_weight_kg;web/app/Models/Shipment.php
Shipment;total_volume_m3;web/app/Models/Shipment.php
Shipment;internal_carrier_type;web/app/Models/Shipment.php
Shipment;internal_carrier_name;web/app/Models/Shipment.php
Shipment;waze_url;web/app/Models/Shipment.php
Shipment;optimized_route_id;web/app/Models/Shipment.php
Shipment;service_code;web/app/Models/Shipment.php
Shipment;tracking_number;web/app/Models/Shipment.php
Shipment;status;web/app/Models/Shipment.php
Shipment;estimated_delivery_at;web/app/Models/Shipment.php
Shipment;delivered_at;web/app/Models/Shipment.php
Shipment;final_price;web/app/Models/Shipment.php
Shipment;meta;web/app/Models/Shipment.php
DeliveryAssignment;mission_number;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;order_id;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;order_item_id;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;driver_id;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;vehicle_id;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;assigned_by;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;status;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;gps_status;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;gps_disabled_reason;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;gps_last_seen_at;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;manual_eta_at;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;last_manual_status_at;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;pickup_address;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;delivery_address;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;pickup_scheduled_at;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;estimated_delivery_at;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;accepted_at;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;started_at;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;arrived_at;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;rejected_at;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;rejection_reason;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;picked_up_at;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;delivered_at;web/app/Models/DeliveryAssignment.php
DeliveryAssignment;meta;web/app/Models/DeliveryAssignment.php
DeliveryDriver;profile;web/app/Models/DeliveryDriver.php
DeliveryDriver;name;web/app/Models/DeliveryDriver.php
DeliveryDriver;first_name;web/app/Models/DeliveryDriver.php
DeliveryDriver;last_name;web/app/Models/DeliveryDriver.php
DeliveryDriver;phone;web/app/Models/DeliveryDriver.php
DeliveryDriver;email;web/app/Models/DeliveryDriver.php
DeliveryDriver;password;web/app/Models/DeliveryDriver.php
DeliveryDriver;otp_code;web/app/Models/DeliveryDriver.php
DeliveryDriver;otp_expires_at;web/app/Models/DeliveryDriver.php
DeliveryDriver;otp_used_at;web/app/Models/DeliveryDriver.php
DeliveryDriver;otp_last_sent_at;web/app/Models/DeliveryDriver.php
DeliveryDriver;zone;web/app/Models/DeliveryDriver.php
DeliveryDriver;commune_id;web/app/Models/DeliveryDriver.php
DeliveryDriver;vehicle;web/app/Models/DeliveryDriver.php
DeliveryDriver;avatar;web/app/Models/DeliveryDriver.php
DeliveryDriver;status;web/app/Models/DeliveryDriver.php
